name,path,activity,type,bodyPart,description,thumbnailUrl
2023 id1563,4519812/Plan unique/2023_id1563.mp4,"""Lord of the dance pose","right""",strength,"strength,""Zona lumbar, Glúteos, Corvas""",4519812/Plan unique/images/935054982.png
2023 id1563m,4519812/Plan unique/2023_id1563m.mp4,"""Lord of the dance pose","left""",strength,"strength,""Abdominales - Abdominales rectos, Hombros parte delantera, Pecho superior, Cuádriceps """,4519812/Plan unique/images/935054975.png
2023 id1565,4519812/Plan unique/2023_id1565.mp4,"""Low lunge","right""",strength,"strength,Cuádriceps",
2023 id1565m,4519812/Plan unique/2023_id1565m.mp4,"""Low lunge","left""",strength,"strength,""Cuádriceps, Glúteos """,
2023 id1602,4519812/Plan unique/2023_id1602.mp4,Upward salute,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,4519812/Plan unique/images/935055051.png
2023 id1520,4519826/Plan unique/2023_id1520.mp4,Boat pose,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,4519826/Plan unique/images/935058012.png
2023 id1530,4519826/Plan unique/2023_id1530.mp4,"""Cow face pose","right""",strength,"strength,""Glúteos, Tríceps, Abductor""",
2023 id1530m,4519826/Plan unique/2023_id1530m.mp4,"""Cow face pose","left""",strength,"strength,""Glúteos, Hombros parte delantera, Dorsales """,
2023 id1551,4519826/Plan unique/2023_id1551.mp4,"""Half lord of the fishes pose","left""",strength,"strength,""Glúteos, Abductor""",4519826/Plan unique/images/935058015.png
2023 id1551m,4519826/Plan unique/2023_id1551m.mp4,"""Half lord of the fishes pose","right""",strength,"strength,""Glúteos, Abductor""",4519826/Plan unique/images/935058020.png
2023 id1554,4519826/Plan unique/2023_id1554.mp4,Happy baby pose,strength,"""Cuádriceps","""Cuádriceps, Abdominales - Abdominales rectos """,4519826/Plan unique/images/935058001.png
2023 id1575,4519826/Plan unique/2023_id1575.mp4,Plow pose,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,4519826/Plan unique/images/935058004.png
2023 id1578,4519826/Plan unique/2023_id1578.mp4,"""Sage Marichi pose","left""",strength,"strength,Cuádriceps",4519826/Plan unique/images/935058037.png
2023 id1578m,4519826/Plan unique/2023_id1578m.mp4,"""Sage Marichi pose","right""",strength,"strength,""Zona lumbar, Corvas """,4519826/Plan unique/images/935058042.png
2023 id1599,4519826/Plan unique/2023_id1599.mp4,Upward bow pose,strength,Zona lumbar,Zona lumbar,4519826/Plan unique/images/935058008.png
2023 cw002,4534430/Plan unique/2023_cw002.mp4,"""Marching in place","interval""",strength,"strength,Sistema cardiovascular",
2023 id1455,4534430/Plan unique/2023_id1455.mp4,"""Straight leg raise","alternated - MRB""",strength,"strength,""Todos los abdominales, Cuádriceps""",4534430/Plan unique/images/946690087.png
2023 id1893,4534430/Plan unique/2023_id1893.mp4,Push-up - MRB,strength,"""Pecho","""Pecho, Tríceps, Hombros parte delantera""",4534430/Plan unique/images/946690082.png
2023 kettler086,4534430/Plan unique/2023_kettler086.mp4,Desplazamiento atrás - Banda de resistencia,strength,"""Cuádriceps","""Cuádriceps, Glúteos """,4534430/Plan unique/images/946690083.png
2023 kettler087,4534430/Plan unique/2023_kettler087.mp4,Sentadilla - Banda de resistencia,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Todos los abdominales, Zona lumbar""",4534430/Plan unique/images/946690084.png
2023 kettler116,4534430/Plan unique/2023_kettler116.mp4,Plancha con desplazamiento lateral - Banda de resistencia,strength,"""Todos los abdominales","""Todos los abdominales, Espalda """,
2023 oa036,4534430/Plan unique/2023_oa036.mp4,Remo en trx unilateral alternando - Cinta elástica,strength,"""Zona cervical","""Zona cervical, Bíceps, Hombros parte trasera, Dorsales""",
2023 oa094,4534430/Plan unique/2023_oa094.mp4,Crunch de abdominales arrodillado - Cinta elástica,strength,Todos los abdominales,Todos los abdominales,
2023 rekker004,4534430/Plan unique/2023_rekker004.mp4,Curl de bíceps - Cinta elástica,strength,Bíceps,Bíceps,
2023 id1225,4534458/Plan unique/2023_id1225.mp4,Board to mountain - EB,strength,"""Abdominales - Abdominales rectos","""Abdominales - Abdominales rectos, Cuerpo completo""",
2023 id2281,4534458/Plan unique/2023_id2281.mp4,Air squat pandal forward,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas, Zona lumbar""",
2023 id2297,4534458/Plan unique/2023_id2297.mp4,Freestyle boxing,strength,"""Oblicuos","""Oblicuos, Pecho, Tríceps, Hombros parte delantera""",
2023 id2359,4534458/Plan unique/2023_id2359.mp4,Air squat kick forward,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas, Zona lumbar""",
2023 impact063,4534458/Plan unique/2023_impact063.mp4,Sentadilla sobre cabeza - Cinta elástica,strength,"""Cuádriceps","""Cuádriceps, Glúteos """,
2023 oa074,4534458/Plan unique/2023_oa074.mp4,Flexion lateral,strength,Oblicuos,Oblicuos,
2023 oa074m,4534458/Plan unique/2023_oa074m.mp4,Flexion de lateral de columna de pie,strength,"""Oblicuos","""Oblicuos, Todos los abdominales""",
2023 oa095,4534458/Plan unique/2023_oa095.mp4,Elevaciones laterales con elastico - Cinta elástica,strength,Hombros,Hombros,
2023 rekker001,4534458/Plan unique/2023_rekker001.mp4,Remo - Cinta elástica,strength,"""Zona cervical","""Zona cervical, Bíceps, Dorsales, Hombros parte trasera""",
2023 rekker002,4534458/Plan unique/2023_rekker002.mp4,Extension de codo - Cinta elástica,strength,Tríceps,Tríceps,
2023 rekker004,4534458/Plan unique/2023_rekker004.mp4,Curl de bíceps - Cinta elástica,strength,Bíceps,Bíceps,
2023 cw002,4534480/Plan unique/2023_cw002.mp4,Descanso,cardio,Cuerpo completo,Cuerpo completo,
2023 id0013,4534480/Plan unique/2023_id0013.mp4,Peso muerto posterior - Banda de resistencia,strength,"""Glúteos","""Glúteos, Zona lumbar, Todos los abdominales""",
2023 id0621,4534480/Plan unique/2023_id0621.mp4,Row wide - EB,strength,"""Zona cervical","""Zona cervical, Bíceps""",
2023 id2297,4534480/Plan unique/2023_id2297.mp4,Freestyle boxing,strength,"""Oblicuos","""Oblicuos, Pecho, Tríceps, Hombros parte delantera""",
2023 impact064,4534480/Plan unique/2023_impact064.mp4,Zancada sobre la cabeza,strength,"""Cuádriceps","""Cuádriceps, Glúteos """,4534480/Plan unique/images/946689720.png
2023 impact064m,4534480/Plan unique/2023_impact064m.mp4,Zancada sobre la cabeza,strength,"""Cuádriceps","""Cuádriceps, Glúteos """,4534480/Plan unique/images/946689721.png
2023 oa037,4534480/Plan unique/2023_oa037.mp4,gemelo con elastico- Cinta elástica,strength,Gemelos,Gemelos,4534480/Plan unique/images/946689716.png
2023 oa067,4534480/Plan unique/2023_oa067.mp4,Planchas con elastico - Cinta elástica,strength,"""Pecho","""Pecho, Tríceps""",
2023 oa074,4534480/Plan unique/2023_oa074.mp4,Flexion lateral,strength,Oblicuos,Oblicuos,
2023 oa074m,4534480/Plan unique/2023_oa074m.mp4,Flexion de lateral de columna de pie,strength,"""Oblicuos","""Oblicuos, Todos los abdominales""",
2023 rekker002,4534480/Plan unique/2023_rekker002.mp4,Extension de codo - Cinta elástica,strength,Tríceps,Tríceps,
2023 rekker007,4534480/Plan unique/2023_rekker007.mp4,Sentadilla- Cinta elástica,strength,"""Cuádriceps","""Cuádriceps, Glúteos""",
2023 cw002,4534503/Plan unique/2023_cw002.mp4,Descanso,cardio,Cuerpo completo,Cuerpo completo,
2023 herman015,4534503/Plan unique/2023_herman015.mp4,Jalones en maquina,strength,"""Dorsales","""Dorsales, Bíceps, Espalda""",4534503/Plan unique/images/946689474.png
2023 id0020,4534503/Plan unique/2023_id0020.mp4,Pies rapidos,cardio,"""Sistema cardiovascular","""Sistema cardiovascular, Piernas """,
2023 id0864,4534503/Plan unique/2023_id0864.mp4,Row arms next to body stand - EB,strength,"""Zona cervical","""Zona cervical, Hombros parte trasera""",
2023 id1733,4534503/Plan unique/2023_id1733.mp4,Máquina mariposa,strength,"""Pecho","""Pecho, Hombros parte delantera""",
2023 id2135,4534503/Plan unique/2023_id2135.mp4,Overhead squat - MRB,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Hombros, Todos los abdominales""",4534503/Plan unique/images/946689476.png
2023 oa074,4534503/Plan unique/2023_oa074.mp4,Flexion lateral,strength,Oblicuos,Oblicuos,4534503/Plan unique/images/946689479.png
2023 oa074m,4534503/Plan unique/2023_oa074m.mp4,Flexion de lateral de columna de pie,strength,"""Oblicuos","""Oblicuos, Todos los abdominales""",4534503/Plan unique/images/946689478.png
2023 oa094,4534503/Plan unique/2023_oa094.mp4,Crunch de abdominales arrodillado - Cinta elástica,strength,Todos los abdominales,Todos los abdominales,
2023 rekker005,4534503/Plan unique/2023_rekker005.mp4,Press de pectoral - Cinta elástica,strength,"""Pecho","""Pecho, Tríceps""",
2023 rob073a,4534503/Plan unique/2023_rob073a.mp4,Zancadas,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas""",
2023 cw002,4534511/Plan unique/2023_cw002.mp4,Descanso,cardio,Cuerpo completo,Cuerpo completo,
2023 id0074a,4534511/Plan unique/2023_id0074a.mp4,Rotacion de columna integrada tumbado supino,strength,Abductor,Abductor,
2023 id0863,4534511/Plan unique/2023_id0863.mp4,Reverse fly - EB,strength,"""Zona cervical","""Zona cervical, Hombros parte trasera""",4534511/Plan unique/images/946689221.png
2023 id0914,4534511/Plan unique/2023_id0914.mp4,"""Row one leg","right - EB""",strength,"strength,""Zona cervical, Bíceps, Hombros parte trasera""",4534511/Plan unique/images/946689222.png
2023 id0917,4534511/Plan unique/2023_id0917.mp4,"""High front raise squat position","left - Pulley""",strength,"strength,""Hombros parte trasera, Cuádriceps, Todos los abdominales, Zona cervical""",
2023 id2096,4534511/Plan unique/2023_id2096.mp4,Band face pulls - EB,strength,"""Hombros parte trasera","""Hombros parte trasera, Zona cervical, Bíceps""",
2023 oa065,4534511/Plan unique/2023_oa065.mp4,Circunduccion lateral,strength,"""Hombros parte central","""Hombros parte central, Hombros parte trasera, Hombros parte delantera""",
2023 sid0026,4534511/Plan unique/2023_sid0026.mp4,Circunduccion cervical,strength,Cuello,Cuello,
2023 xf002,4534511/Plan unique/2023_xf002.mp4,Molinillo,strength,Oblicuos,Oblicuos,
2023 xs020,4534511/Plan unique/2023_xs020.mp4,Balanceo de brazo de delante hacia atrás,strength,"""Pecho","""Pecho, Zona cervical, Hombros parte delantera, Hombros parte trasera""",
2023 cw002,4534515/Plan unique/2023_cw002.mp4,Descanso,cardio,Cuerpo completo,Cuerpo completo,
2023 cw003,4534515/Plan unique/2023_cw003.mp4,Saltos de tijera,strength,Sistema cardiovascular,Sistema cardiovascular,
2023 id0013,4534515/Plan unique/2023_id0013.mp4,Peso muerto posterior - Banda de resistencia,strength,"""Glúteos","""Glúteos, Zona lumbar, Todos los abdominales""",
2023 id1303,4534515/Plan unique/2023_id1303.mp4,X-walk - EB,strength,"""Glúteos","""Glúteos, Cuádriceps""",
2023 id1733,4534515/Plan unique/2023_id1733.mp4,Máquina mariposa,strength,"""Pecho","""Pecho, Hombros parte delantera""",4534515/Plan unique/images/946689058.png
2023 id2097,4534515/Plan unique/2023_id2097.mp4,Hip press kneeling - EB,strength,"""Glúteos","""Glúteos, Corvas""",
